season,round,race_name,circuit,date,position,driver_code,driver_name,constructor,grid,laps,status,points,positions_gained
2020,1,Austrian Grand Prix,Red Bull Ring,2020-07-05,1,BOT,Valtteri Bottas,Mercedes,1,71,Finished,25.0,0
2020,1,Austrian Grand Prix,Red Bull Ring,2020-07-05,2,LEC,Charles Leclerc,Ferrari,7,71,Finished,18.0,5
2020,1,Austrian Grand Prix,Red Bull Ring,2020-07-05,3,NOR,Lando Norris,McLaren,3,71,Finished,16.0,0
2020,1,Austrian Grand Prix,Red Bull Ring,2020-07-05,4,HAM,Lewis Hamilton,Mercedes,5,71,Finished,12.0,1
2020,1,Austrian Grand Prix,Red Bull Ring,2020-07-05,5,SAI,Carlos Sainz,McLaren,8,71,Finished,10.0,3
2020,1,Austrian Grand Prix,Red Bull Ring,2020-07-05,6,PER,Sergio Pérez,Racing Point,6,71,Finished,8.0,0
2020,1,Austrian Grand Prix,Red Bull Ring,2020-07-05,7,GAS,Pierre Gasly,AlphaTauri,12,71,Finished,6.0,5
2020,1,Austrian Grand Prix,Red Bull Ring,2020-07-05,8,OCO,Esteban Ocon,Renault,14,71,Finished,4.0,6
2020,1,Austrian Grand Prix,Red Bull Ring,2020-07-05,9,GIO,Antonio Giovinazzi,Alfa Romeo,18,71,Finished,2.0,9
2020,1,Austrian Grand Prix,Red Bull Ring,2020-07-05,10,VET,Sebastian Vettel,Ferrari,11,71,Finished,1.0,1
2020,1,Austrian Grand Prix,Red Bull Ring,2020-07-05,11,LAT,Nicholas Latifi,Williams,20,71,Finished,0.0,9
2020,1,Austrian Grand Prix,Red Bull Ring,2020-07-05,12,KVY,Daniil Kvyat,AlphaTauri,13,69,Suspension,0.0,1
2020,1,Austrian Grand Prix,Red Bull Ring,2020-07-05,13,ALB,Alexander Albon,Red Bull,4,67,Electronics,0.0,-9
2020,1,Austrian Grand Prix,Red Bull Ring,2020-07-05,14,RAI,Kimi Räikkönen,Alfa Romeo,19,53,Wheel,0.0,5
2020,1,Austrian Grand Prix,Red Bull Ring,2020-07-05,15,RUS,George Russell,Williams,17,49,Fuel pressure,0.0,2
2020,1,Austrian Grand Prix,Red Bull Ring,2020-07-05,16,GRO,Romain Grosjean,Haas F1 Team,15,49,Brakes,0.0,-1
2020,1,Austrian Grand Prix,Red Bull Ring,2020-07-05,17,MAG,Kevin Magnussen,Haas F1 Team,16,24,Brakes,0.0,-1
2020,1,Austrian Grand Prix,Red Bull Ring,2020-07-05,18,STR,Lance Stroll,Racing Point,9,20,Engine,0.0,-9
2020,1,Austrian Grand Prix,Red Bull Ring,2020-07-05,19,RIC,Daniel Ricciardo,Renault,10,17,Overheating,0.0,-9
2020,1,Austrian Grand Prix,Red Bull Ring,2020-07-05,20,VER,Max Verstappen,Red Bull,2,11,Electronics,0.0,-18
2020,2,Styrian Grand Prix,Red Bull Ring,2020-07-12,1,HAM,Lewis Hamilton,Mercedes,1,71,Finished,25.0,0
2020,2,Styrian Grand Prix,Red Bull Ring,2020-07-12,2,BOT,Valtteri Bottas,Mercedes,4,71,Finished,18.0,2
2020,2,Styrian Grand Prix,Red Bull Ring,2020-07-12,3,VER,Max Verstappen,Red Bull,2,71,Finished,15.0,-1
2020,2,Styrian Grand Prix,Red Bull Ring,2020-07-12,4,ALB,Alexander Albon,Red Bull,6,71,Finished,12.0,2
2020,2,Styrian Grand Prix,Red Bull Ring,2020-07-12,5,NOR,Lando Norris,McLaren,9,71,Finished,10.0,4
2020,2,Styrian Grand Prix,Red Bull Ring,2020-07-12,6,PER,Sergio Pérez,Racing Point,17,71,Finished,8.0,11
2020,2,Styrian Grand Prix,Red Bull Ring,2020-07-12,7,STR,Lance Stroll,Racing Point,12,71,Finished,6.0,5
2020,2,Styrian Grand Prix,Red Bull Ring,2020-07-12,8,RIC,Daniel Ricciardo,Renault,8,71,Finished,4.0,0
2020,2,Styrian Grand Prix,Red Bull Ring,2020-07-12,9,SAI,Carlos Sainz,McLaren,3,70,+1 Lap,3.0,-6
2020,2,Styrian Grand Prix,Red Bull Ring,2020-07-12,10,KVY,Daniil Kvyat,AlphaTauri,13,70,+1 Lap,1.0,3
2020,2,Styrian Grand Prix,Red Bull Ring,2020-07-12,11,RAI,Kimi Räikkönen,Alfa Romeo,16,70,+1 Lap,0.0,5
2020,2,Styrian Grand Prix,Red Bull Ring,2020-07-12,12,MAG,Kevin Magnussen,Haas F1 Team,15,70,+1 Lap,0.0,3
2020,2,Styrian Grand Prix,Red Bull Ring,2020-07-12,13,GRO,Romain Grosjean,Haas F1 Team,0,70,+1 Lap,0.0,-13
2020,2,Styrian Grand Prix,Red Bull Ring,2020-07-12,14,GIO,Antonio Giovinazzi,Alfa Romeo,19,70,+1 Lap,0.0,5
2020,2,Styrian Grand Prix,Red Bull Ring,2020-07-12,15,GAS,Pierre Gasly,AlphaTauri,7,70,+1 Lap,0.0,-8
2020,2,Styrian Grand Prix,Red Bull Ring,2020-07-12,16,RUS,George Russell,Williams,11,69,+2 Laps,0.0,-5
2020,2,Styrian Grand Prix,Red Bull Ring,2020-07-12,17,LAT,Nicholas Latifi,Williams,18,69,+2 Laps,0.0,1
2020,2,Styrian Grand Prix,Red Bull Ring,2020-07-12,18,OCO,Esteban Ocon,Renault,5,25,Overheating,0.0,-13
2020,2,Styrian Grand Prix,Red Bull Ring,2020-07-12,19,LEC,Charles Leclerc,Ferrari,14,4,Collision damage,0.0,-5
2020,2,Styrian Grand Prix,Red Bull Ring,2020-07-12,20,VET,Sebastian Vettel,Ferrari,10,1,Collision damage,0.0,-10
